parameter_value,log_likelihood
1.0000000000000082e-18,56038.808919625575
1.3257113655901216e-18,56038.78258393951
1.7575106248548108e-18,56038.75662629641
2.3299518105153812e-18,56038.730922687224
3.0888435964774977e-18,56038.63526524052
4.094915062380453e-18,56038.4995999671
5.428675439323904e-18,56038.28003947562
7.19685673001153e-18,56037.88099972931
9.540954763499964e-18,56037.339863056884
1.264855216855301e-17,56036.50088847252
1.6768329368110167e-17,56035.311734147705
2.2229964825262092e-17,56033.54290517225
2.947051702551834e-17,56030.985471742904
3.906939937054653e-17,56027.278690821666
5.1794746792312655e-17,56022.10909475923
6.866488450043083e-17,56015.09913217939
9.102981779915264e-17,56005.762214241055
1.2067926406393364e-16,55993.37214103451
1.5998587196060705e-16,55976.88663032466
2.1209508879202011e-16,55955.12431674861
2.81176869797426e-16,55927.196285418
3.7275937203149534e-16,55892.955276020446
4.941713361323858e-16,55853.2685464351
6.551285568595549e-16,55809.28587415209
8.685113737513591e-16,55762.50173312974
1.1513953993264528e-15,55713.86278026477
1.5264179671752428e-15,55664.131344114794
2.0235896477251637e-15,55613.715452843186
2.6826957952797383e-15,55562.926767369565
3.556480306223151e-15,55511.915983725616
4.714866363457409e-15,55460.7584671703
6.2505519252740016e-15,55409.53067165179
8.286427728546893e-15,55358.25485948529
1.0985411419875663e-14,55306.972141134596
1.4563484775012503e-14,55255.69685074671
1.9306977288832614e-14,55204.397014326605
2.5595479226995542e-14,55153.09436051693
3.393221771895344e-14,55101.75785693213
4.4984326689694714e-14,55050.45244599302
5.963623316594685e-14,54999.13499684511
7.906043210907767e-14,54947.82026673603
1.0481131341546874e-13,54896.505531590716
1.3894954943731417e-13,54845.179185895904
1.8420699693267238e-13,54793.86686661761
2.442053094548655e-13,54742.575285068626
3.237457542817653e-13,54691.23869571283
4.291934260128796e-13,54639.935000442274
5.689866029018305e-13,54588.64015894621
7.543120063354669e-13,54537.31200138576
1.000000000000004e-12,54485.99888538725
