parameter_value,log_likelihood
1.939274757494978e-10,55970.04581086125
2.340302505522564e-10,55976.69422636424
2.824259840534406e-10,55982.72836941022
3.4082959908101193e-10,55988.20817452584
4.1131065188301897e-10,55993.25839476912
4.963666677089912e-10,55997.751074114974
5.990116416498791e-10,56001.913583906506
7.228828408003555e-10,56005.659845733244
8.723696923223188e-10,56009.09463287994
1.0527693246113722e-09,56012.185699608875
1.270474273231838e-09,56015.04955772486
1.5331990030577851e-09,56017.62451011907
1.8502532735256872e-09,56019.971790351425
2.2328720338096313e-09,56022.100876792625
2.694613537890828e-09,56024.01797964965
3.2518397868937634e-09,56025.74726308706
3.9242963233615494e-09,56027.319259910146
4.735811922720684e-09,56028.69731200148
5.715142975791323e-09,56029.922208069285
6.896992483386509e-09,56031.03022881123
8.323239771495626e-09,56031.98694879933
1.0044424502517448e-08,56032.88048227371
1.2121537569095433e-08,56033.6313995991
1.462818233161751e-08,56034.29089750068
1.765318278372627e-08,56034.90219566818
2.1303731067261722e-08,56035.39408631024
2.5709185870130932e-08,56035.84364687225
3.1025656304902564e-08,56036.24875390745
3.744153369976161e-08,56036.61802436346
4.5184167323121735e-08,56036.93980121522
5.4527920598959355e-08,56037.222420840044
6.580389328818983e-08,56037.48692781034
7.94116541456032e-08,56037.690697151724
9.58333998039096e-08,56037.877451622
1.1565104161080438e-07,56038.07040689486
1.395668258981918e-07,56038.20997838993
1.6842821837132802e-07,56038.3244029767
2.0325793440651245e-07,56038.46399207579
2.4529017939333066e-07,56038.53784576702
2.960143833129722e-07,56038.61664181113
3.5722797930548424e-07,56038.678787861805
4.31100096456316e-07,56038.70308870314
5.20248423782387e-07,56038.76006902281
6.278319691247953e-07,56038.772532330826
7.576629998979014e-07,56038.80130947678
9.14342132361504e-07,56038.798560079296
1.1034213563603342e-06,56038.817082128
1.3316007723799177e-06,56038.8388513486
1.6069660123777307e-06,56038.81876820508
1.9392747574949743e-06,56038.832156515964
