parameter_value,log_likelihood
1.0000000000000082e-18,56758.77758773221
1.3257113655901216e-18,56758.76862552888
1.7575106248548108e-18,56758.79536905899
2.3299518105153812e-18,56758.807205229954
3.0888435964774977e-18,56758.8671503131
4.094915062380453e-18,56758.9809753208
5.428675439323904e-18,56759.08565872946
7.19685673001153e-18,56759.307208730104
9.540954763499964e-18,56759.661192527856
1.264855216855301e-17,56760.265026534435
1.6768329368110167e-17,56761.22436045846
2.2229964825262092e-17,56762.64659413214
2.947051702551834e-17,56764.520535034055
3.906939937054653e-17,56766.69068005415
5.1794746792312655e-17,56768.67597223721
6.866488450043083e-17,56770.134604785795
9.102981779915264e-17,56770.69951459763
1.2067926406393364e-16,56770.10180345354
1.5998587196060705e-16,56768.376779551385
2.1209508879202011e-16,56765.44645228446
2.81176869797426e-16,56761.22626559836
3.7275937203149534e-16,56755.56936929726
4.941713361323858e-16,56748.21647079155
6.551285568595549e-16,56738.630441678506
8.685113737513591e-16,56725.97258552793
1.1513953993264528e-15,56709.06939159659
1.5264179671752428e-15,56686.726010495164
2.0235896477251637e-15,56657.99329093869
2.6826957952797383e-15,56623.02794564259
3.556480306223151e-15,56582.733519643894
4.714866363457409e-15,56538.44628810959
6.2505519252740016e-15,56491.385577134875
8.286427728546893e-15,56442.639930439705
1.0985411419875663e-14,56392.79244237067
1.4563484775012503e-14,56342.327988431396
1.9306977288832614e-14,56291.47751610847
2.5595479226995542e-14,56240.46515949194
3.393221771895344e-14,56189.32241203134
4.4984326689694714e-14,56138.07206870207
5.963623316594685e-14,56086.84393339003
7.906043210907767e-14,56035.55494814524
1.0481131341546874e-13,55984.227543739005
1.3894954943731417e-13,55932.95150219689
1.8420699693267238e-13,55881.62294231829
2.442053094548655e-13,55830.29355209046
3.237457542817653e-13,55778.9798488131
4.291934260128796e-13,55727.66576567441
5.689866029018305e-13,55676.375118466676
7.543120063354669e-13,55625.06893163461
1.000000000000004e-12,55573.74751768253
