parameter_value,log_likelihood
9.999805300760471e-09,55406.040316996
1.2067691444783888e-08,55423.49762232175
1.4563201225071387e-08,55441.04158316676
1.7574764062565772e-08,55458.730957400105
2.120909593167693e-08,55476.43285810673
2.559498088496125e-08,55494.29164556487
3.088783456927553e-08,55512.318487673365
3.727521144348669e-08,55530.54767812393
4.498345084827472e-08,55548.969160959554
5.428569743425891e-08,55567.70889846839
6.551158015563695e-08,55586.72384227649
7.905889280847618e-08,55606.14370424117
9.540769001836242e-08,55626.03101576274
1.1513729817455813e-07,55646.44286101966
1.3894684410015278e-07,55667.50060425143
1.6768002890012452e-07,55689.36615482565
2.0235502485885985e-07,55712.053554983715
2.4420055479606054e-07,55735.800135711084
2.94699432367927e-07,55760.771773574466
3.5564110618220194e-07,55787.11293970986
4.2918506964951143e-07,55814.98547331607
5.179373835253071e-07,55844.57365100265
6.250430227503315e-07,55876.07039296245
7.542973199380607e-07,55909.589546890915
9.102804545552209e-07,55945.23431369118
1.0985197534750615e-06,55982.99398248593
1.325685554090634e-06,56022.88850678229
1.599827570478448e-06,56064.73164342524
1.9306601383452884e-06,56108.29565550639
2.329906446530798e-06,56153.38157446477
2.811713953051503e-06,56199.648110022026
3.393155706125462e-06,56246.84097853684
4.094835334695553e-06,56294.7502274727
4.941617146540476e-06,56343.05271670164
5.963507205302167e-06,56391.50688463103
7.196716607758266e-06,56439.732267282685
8.684944639009495e-06,56487.35051358741
1.0480927274716672e-05,56533.579005565116
1.2648305902204072e-05,56577.438291038554
1.526388247933486e-05,56617.745241075405
1.8420341043644903e-05,56653.14586362601
2.2229532009537244e-05,56682.54861320208
2.6826435633965936e-05,56705.76010832732
3.2373945097654674e-05,56723.38564852765
3.9068638692311346e-05,56736.60825553565
4.714774565367826e-05,56746.60353282048
5.689755247759383e-05,56754.298662405505
6.866354760035025e-05,56760.25340397952
8.286266392429093e-05,56764.74508286695
9.999805300760431e-05,56767.931976895175
