parameter_value,log_likelihood
1.1723345530429572e-15,56707.811440336845
1.4147647109794405e-15,56693.337406778584
1.7073276414462125e-15,56676.06603099246
2.0603904328573878e-15,56655.94419498851
2.486464011215982e-15,56633.004512997635
3.000646469949987e-15,56607.58766442705
3.621158077096033e-15,56580.009654153924
4.369986918031147e-15,56550.69557383776
5.273668052370119e-15,56520.01645505682
6.364223794775016e-15,56488.33837590351
7.680298438916208e-15,56455.91266897391
9.268527633997786e-15,56422.922982170305
1.1185190938270757e-14,56389.57782770846
1.3498206108450887e-14,56355.979115290465
1.6289535793511333e-14,56322.208412316555
1.9658091915040445e-14,56288.222106061265
2.3723240652082253e-14,56254.22840212574
2.862903223104856e-14,56220.140477047884
3.454930540505562e-14,56186.04174039274
4.1693847502021795e-14,56151.90619876414
5.031582832537847e-14,56117.73972285672
6.072077133073825e-14,56083.536627422596
7.327737997587862e-14,56049.34536588479
8.843060288022223e-14,56015.15397947056
1.0671740076315101e-13,55980.98424320185
1.2878577386912827e-13,55946.758128284724
1.554177241243051e-13,55912.55881084333
1.875569656981245e-13,55878.34380055208
2.2634236590513922e-13,55844.144137245836
2.7314830143921675e-13,55809.917633465084
3.2963335997997907e-13,55775.72604700159
3.9779911293305427e-13,55741.50389083434
4.800610419404622e-13,55707.28888321949
5.793341324713991e-13,55673.103476252916
6.991361675376531e-13,55638.86920910212
8.437123817892263e-13,55604.68066398987
1.018185893159516e-12,55570.459796463605
1.2287392426676835e-12,55536.240680946365
1.4828334753161058e-12,55502.04739404686
1.7894725253051203e-12,55467.80306242345
2.15952227416449e-12,55433.63935762759
2.606095587758408e-12,55399.42352662702
3.1450169761094796e-12,55365.19266641658
3.795383341454684e-12,55331.000188957696
4.5802406848726085e-12,55296.79953133764
5.527400750861092e-12,55262.57273084717
6.67042654800348e-12,55228.38293763416
8.049821668055787e-12,55194.15783026415
9.714465547468749e-12,55159.92748628277
1.1723345530429572e-11,55125.763154624496
