parameter_value,log_likelihood
1.5087759722089005e-09,55963.85824923401
1.8207797396351532e-09,55963.85181265034
2.1973035900168918e-09,55963.84180792364
2.651689801682757e-09,55963.87285143192
3.200039737929119e-09,55963.86906797626
3.86178440548626e-09,55963.8320014361
4.660373000276554e-09,55963.87176588426
5.624103839367963e-09,55963.867130461345
6.787127123540638e-09,55963.845664214256
8.190655063772435e-09,55963.84967351279
9.884422252975848e-09,55963.873281921646
1.1928448031862845e-08,55963.880122656374
1.4395163299100737e-08,55963.84894318278
1.7371977130156132e-08,55963.87892704124
2.0964374154027193e-08,55963.856781467686
2.5299652444689372e-08,55963.84474001942
3.0531434380983875e-08,55963.82797077965
3.684511031913393e-08,55963.84156421428
4.446440797667502e-08,55963.83338885355
5.365932031663608e-08,55963.85211465102
6.475567285982485e-08,55963.86152372793
7.81466694468844e-08,55963.845640387306
9.430682557897438e-08,55963.85380138161
1.138087830707631e-07,55963.83648873622
1.3734360184991503e-07,55963.85336844634
1.6574524795137523e-07,55963.86132096976
2.0002014544866045e-07,55963.84883762413
2.413828395070516e-07,55963.86545233603
2.912990342937341e-07,55963.872450781215
3.515375308110218e-07,55963.84616153518
4.2423290509126244e-07,55963.84969141629
5.119611477811773e-07,55963.84727157975
6.178309454355887e-07,55963.85995007745
7.455938381109087e-07,55963.84033878609
8.99777156738274e-07,55963.86114643017
1.085844450967129e-06,55963.855536968294
1.3103890923061838e-06,55963.85442761542
1.581367912969153e-06,55963.87555943391
1.9083831595143483e-06,55963.873186293764
2.3030227524219416e-06,55963.84782083751
2.7792709088477357e-06,55963.8829973708
3.3540036791404265e-06,55963.866187964675
4.047586956663891e-06,55963.87337061478
4.884598151649723e-06,55963.847948673145
5.894697101891354e-06,55963.86483074869
7.113677081360466e-06,55963.85730638592
8.584733149670454e-06,55963.87024201261
1.0359992786874811e-05,55963.884704518365
1.2502363052277052e-05,55963.858468614235
1.5087759722089004e-05,55963.89304735628
