parameter_value,log_likelihood
9.999805300760471e-09,55477.33728628265
1.2067691444783888e-08,55494.78657954547
1.4563201225071387e-08,55512.351097535684
1.7574764062565772e-08,55529.97071580173
2.120909593167693e-08,55547.698449712494
2.559498088496125e-08,55565.57708823025
3.088783456927553e-08,55583.630591110166
3.727521144348669e-08,55601.8237786804
4.498345084827472e-08,55620.27808417242
5.428569743425891e-08,55638.98076467044
6.551158015563695e-08,55658.02419291444
7.905889280847618e-08,55677.45419030544
9.540769001836242e-08,55697.303184705284
1.1513729817455813e-07,55717.75256052466
1.3894684410015278e-07,55738.823001812365
1.6768002890012452e-07,55760.632340432974
2.0235502485885985e-07,55783.36817512292
2.4420055479606054e-07,55807.135429334856
2.94699432367927e-07,55832.05792978527
3.5564110618220194e-07,55858.36294118212
4.2918506964951143e-07,55886.272252404335
5.179373835253071e-07,55915.86983339679
6.250430227503315e-07,55947.36862157786
7.542973199380607e-07,55980.86907759518
9.102804545552209e-07,56016.51449927235
1.0985197534750615e-06,56054.28996005765
1.325685554090634e-06,56094.18443089533
1.599827570478448e-06,56136.01569883752
1.9306601383452884e-06,56179.577135016596
2.329906446530798e-06,56224.65689476665
2.811713953051503e-06,56270.953487114224
3.393155706125462e-06,56318.14329099693
4.094835334695553e-06,56366.04706850614
4.941617146540476e-06,56414.32223116315
5.963507205302167e-06,56462.77604988468
7.196716607758266e-06,56511.079628643056
8.684944639009495e-06,56558.64473601428
1.0480927274716672e-05,56604.84853253441
1.2648305902204072e-05,56648.73493762549
1.526388247933486e-05,56689.06015798698
1.8420341043644903e-05,56724.44037964844
2.2229532009537244e-05,56753.826172904635
2.6826435633965936e-05,56777.050256307375
3.2373945097654674e-05,56794.702618257405
3.9068638692311346e-05,56807.9359670049
4.714774565367826e-05,56817.98276987945
5.689755247759383e-05,56825.65973242655
6.866354760035025e-05,56831.60714087299
8.286266392429093e-05,56836.08758674606
9.999805300760431e-05,56839.23605469237
