parameter_value,log_likelihood
1.5087759722089005e-09,56035.1505246686
1.8207797396351532e-09,56035.18035097269
2.1973035900168918e-09,56035.14017679876
2.651689801682757e-09,56035.13568893839
3.200039737929119e-09,56035.15201399514
3.86178440548626e-09,56035.16937555916
4.660373000276554e-09,56035.148045755035
5.624103839367963e-09,56035.16256355588
6.787127123540638e-09,56035.1583274088
8.190655063772435e-09,56035.14880451187
9.884422252975848e-09,56035.15670512843
1.1928448031862845e-08,56035.1388014233
1.4395163299100737e-08,56035.148988948
1.7371977130156132e-08,56035.17540700143
2.0964374154027193e-08,56035.16475600403
2.5299652444689372e-08,56035.14157177361
3.0531434380983875e-08,56035.12332803857
3.684511031913393e-08,56035.12857499218
4.446440797667502e-08,56035.159127082945
5.365932031663608e-08,56035.148889555974
6.475567285982485e-08,56035.1615419852
7.81466694468844e-08,56035.14318290024
9.430682557897438e-08,56035.148344844514
1.138087830707631e-07,56035.16092511498
1.3734360184991503e-07,56035.125597942024
1.6574524795137523e-07,56035.17993343941
2.0002014544866045e-07,56035.16389752484
2.413828395070516e-07,56035.14471023732
2.912990342937341e-07,56035.157643888626
3.515375308110218e-07,56035.14927399803
4.2423290509126244e-07,56035.142228809265
5.119611477811773e-07,56035.14011472043
6.178309454355887e-07,56035.147088905396
7.455938381109087e-07,56035.16557151942
8.99777156738274e-07,56035.15001464606
1.085844450967129e-06,56035.16264431672
1.3103890923061838e-06,56035.14043681407
1.581367912969153e-06,56035.150913327285
1.9083831595143483e-06,56035.18152111109
2.3030227524219416e-06,56035.13742399478
2.7792709088477357e-06,56035.13428065047
3.3540036791404265e-06,56035.17239763775
4.047586956663891e-06,56035.15350328404
4.884598151649723e-06,56035.158176420766
5.894697101891354e-06,56035.16284103887
7.113677081360466e-06,56035.15664730861
8.584733149670454e-06,56035.15035281199
1.0359992786874811e-05,56035.17073177958
1.2502363052277052e-05,56035.181330240855
1.5087759722089004e-05,56035.185902851845
