parameter_value,log_likelihood
1.0000000000000082e-18,56646.76605678224
1.3257113655901216e-18,56646.77828298672
1.7575106248548108e-18,56646.78461899226
2.3299518105153812e-18,56646.83036219758
3.0888435964774977e-18,56646.79829565597
4.094915062380453e-18,56646.81424699543
5.428675439323904e-18,56646.840922540425
7.19685673001153e-18,56646.94395028921
9.540954763499964e-18,56647.037676693144
1.264855216855301e-17,56647.19513072376
1.6768329368110167e-17,56647.46146063367
2.2229964825262092e-17,56647.83654335588
2.947051702551834e-17,56648.3368083341
3.906939937054653e-17,56648.81858163797
5.1794746792312655e-17,56649.16837344399
6.866488450043083e-17,56649.12447159323
9.102981779915264e-17,56648.47185745613
1.2067926406393364e-16,56646.931759739055
1.5998587196060705e-16,56644.33165652755
2.1209508879202011e-16,56640.34928078123
2.81176869797426e-16,56634.64700689585
3.7275937203149534e-16,56626.48012091909
4.941713361323858e-16,56615.08135770949
6.551285568595549e-16,56599.42261998028
8.685113737513591e-16,56578.4072677971
1.1513953993264528e-15,56551.34992881173
1.5264179671752428e-15,56518.010958389204
2.0235896477251637e-15,56479.12407763994
2.6826957952797383e-15,56435.920742100934
3.556480306223151e-15,56389.59516310557
4.714866363457409e-15,56341.291248227004
6.2505519252740016e-15,56291.732147863164
8.286427728546893e-15,56241.42648005802
1.0985411419875663e-14,56190.73742224257
1.4563484775012503e-14,56139.7227513228
1.9306977288832614e-14,56088.619062452184
2.5595479226995542e-14,56037.406771102855
3.393221771895344e-14,55986.183214390345
4.4984326689694714e-14,55934.855536448486
5.963623316594685e-14,55883.58138422129
7.906043210907767e-14,55832.28573119308
1.0481131341546874e-13,55780.99434999986
1.3894954943731417e-13,55729.653178207736
1.8420699693267238e-13,55678.34817484782
2.442053094548655e-13,55627.02106386678
3.237457542817653e-13,55575.70776733771
4.291934260128796e-13,55524.41070086172
5.689866029018305e-13,55473.0813629182
7.543120063354669e-13,55421.77552006569
1.000000000000004e-12,55370.46454423003
