parameter_value,log_likelihood
9.837951595977493e-10,56035.144943306834
1.1872367584991604e-09,56035.15265009952
1.4327485828532761e-09,56035.16614156516
1.7290304456737576e-09,56035.146929151444
2.086581217280434e-09,56035.15696773856
2.518070857110275e-09,56035.15709195508
3.0387893789690535e-09,56035.14594427
3.667188658992803e-09,56035.17093602007
4.425536285508515e-09,56035.145947990124
5.340704620233998e-09,56035.14451762511
6.445123031526864e-09,56035.16769238344
7.777927042461644e-09,56035.14726655044
9.386345114272315e-09,56035.149367386235
1.1327372206404751e-08,56035.15212287384
1.366978941647173e-08,56035.15877459132
1.6496601266887503e-08,56035.1591256662
1.9907977004441227e-08,56035.14726256379
2.4024800138976667e-08,56035.16735117216
2.8992952000547767e-08,56035.16759152251
3.498848110467035e-08,56035.143787082176
4.2223841504264396e-08,56035.14098838099
5.095542118686762e-08,56035.135397888465
6.149262728898918e-08,56035.1096990312
7.420885006592931e-08,56035.150170894914
8.955469412987088e-08,56035.141474855176
1.0807394581063428e-07,56035.150411319824
1.3042284244912706e-07,56035.1642320647
1.5739332643886921e-07,56035.14119198157
1.8994110803217088e-07,56035.1406109783
2.2921953132810354e-07,56035.151460685
2.7662044349755146e-07,56035.13892659997
3.338235154632317e-07,56035.14623544415
4.028557617333772e-07,56035.138199596244
4.861633684989906e-07,56035.1918214042
5.86698375253008e-07,56035.18389083254
7.080232815303814e-07,56035.19147453656
8.54437285552172e-07,56035.17421887971
1.031128628092206e-06,56035.1701596728
1.2443584399342015e-06,56035.1769455977
1.5016826076300308e-06,56035.087543069756
1.8122195194639983e-06,56034.94639541305
2.1869731793120895e-06,56034.587506024625
2.639223138069425e-06,56033.81432207883
3.1849950600272176e-06,56032.35683920148
3.843628598913464e-06,56029.71036755621
4.638462706519613e-06,56025.32079811006
5.597662658107864e-06,56018.4718678442
6.755218100586154e-06,56008.53086158136
8.152147489700956e-06,55995.01238944003
9.837951595977493e-06,55977.85719690647
